attempt	legacy_terminal_certified	current_four_nonempty	contract_four_nonempty	all_six_nonempty	all_six_strict_negative	intersection_lower	lower_source	intersection_upper	upper_source
A0177_P241_DU0_DS0_C0HORect2Set	false	true	true	true	true	-0x1.f3f760cf75d5bp-36	liouville	-0x1.f3c9ae013f81p-36	liouville
A0178_P241_DU0_DS0_C0Rect2Set	false	true	true	true	true	-0x1.f3f7659de2d5ap-36	liouville	-0x1.f3c9a9333447dp-36	liouville
A0179_P241_DU0_DS1_C0HORect2Set	false	true	true	true	true	-0x1.f3e93e6e04cf7p-36	liouville	-0x1.f3bb8c9646d99p-36	liouville
A0180_P241_DU0_DS1_C0Rect2Set	false	true	true	true	true	-0x1.f3e9433c8b916p-36	liouville	-0x1.f3bb87c822c5ep-36	liouville
A0181_P241_DU1_DS0_C0HORect2Set	false	true	true	true	true	-0x1.f3f596f9759fcp-36	liouville	-0x1.f3c7e439d9734p-36	liouville
A0182_P241_DU1_DS0_C0Rect2Set	false	true	true	true	true	-0x1.f3f59bc7b3949p-36	liouville	-0x1.f3c7df6bfdabfp-36	liouville
A0183_P241_DU1_DS1_C0HORect2Set	false	true	true	true	true	-0x1.f3e774a16801fp-36	liouville	-0x1.f3b9c2d8621d7p-36	liouville
A0184_P241_DU1_DS1_C0Rect2Set	false	true	true	true	true	-0x1.f3e7796fce44cp-36	liouville	-0x1.f3b9be0a5de7bp-36	liouville
A0185_P242_DU0_DS0_C0HORect2Set	false	true	true	true	true	-0x1.f3db1c400cc48p-36	liouville	-0x1.f3ad6b5e04947p-36	liouville
A0186_P242_DU0_DS0_C0Rect2Set	false	true	true	true	true	-0x1.f3db210e50f61p-36	liouville	-0x1.f3ad669022335p-36	liouville
A0187_P242_DU0_DS1_C0HORect2Set	false	true	true	true	true	-0x1.f3ccfa45054bap-36	liouville	-0x1.f39f4a58fd5ffp-36	liouville
A0188_P242_DU0_DS1_C0Rect2Set	false	true	true	true	true	-0x1.f3ccff132aec9p-36	liouville	-0x1.f39f458b39d41p-36	liouville
A0189_P242_DU1_DS0_C0HORect2Set	false	true	true	true	true	-0x1.f3d952800a361p-36	liouville	-0x1.f3aba1a66acaep-36	liouville
A0190_P242_DU1_DS0_C0Rect2Set	false	true	true	true	true	-0x1.f3d9574b09154p-36	liouville	-0x1.f3ab9cdbcc3c1p-36	liouville
A0191_P242_DU1_DS1_C0HORect2Set	false	true	true	true	true	-0x1.f3cb308e6ef3cp-36	liouville	-0x1.f39d80aadbdbcp-36	liouville
A0192_P242_DU1_DS1_C0Rect2Set	false	true	true	true	true	-0x1.f3cb355cec788p-36	liouville	-0x1.f39d7bdcbfed6p-36	liouville
A0193_P243_DU0_DS0_C0HORect2Set	false	true	true	true	true	-0x1.f3bed87cec43bp-36	liouville	-0x1.f3912987335a7p-36	liouville
A0194_P243_DU0_DS0_C0Rect2Set	false	true	true	true	true	-0x1.f3bedd4b1cacap-36	liouville	-0x1.f39124b965325p-36	liouville
A0195_P243_DU0_DS1_C0HORect2Set	false	true	true	true	true	-0x1.f3b0b6e7f390ep-36	liouville	-0x1.f38308e873cdbp-36	liouville
A0196_P243_DU0_DS1_C0Rect2Set	false	true	true	true	true	-0x1.f3b0bbb624417p-36	liouville	-0x1.f383041aa4ec2p-36	liouville
A0197_P243_DU1_DS0_C0HORect2Set	false	true	true	true	true	-0x1.f3bd0ecfe080ap-36	liouville	-0x1.f38f5fe26b762p-36	liouville
A0198_P243_DU1_DS0_C0Rect2Set	false	true	true	true	true	-0x1.f3bd139e51341p-36	liouville	-0x1.f38f5b145c938p-36	liouville
A0199_P243_DU1_DS1_C0HORect2Set	false	true	true	true	true	-0x1.f3aeed44bd0a7p-36	liouville	-0x1.f3813f4cb9b82p-36	liouville
A0200_P243_DU1_DS1_C0Rect2Set	false	true	true	true	true	-0x1.f3aef212c896dp-36	liouville	-0x1.f3813a7f10adfp-36	liouville
