ATTEMPT_INDEX	ORDINAL	SAMPLE_CLASS	STRATUM	NODE_ID	LIOUVILLE_CARRIER	STATUS	WORKER_RC	ELAPSED_MS	INPUT_SHA256	MANIFEST_ROW_SHA256	CELL_CHALLENGE	ATTEMPT_BINDING	STDOUT_SHA256	STDERR_SHA256	VERIFICATION_SHA256	CORE_RECEIPT_SHA256	PHYSICAL_SHA256	REFERENCE_PHYSICAL_SHA256	INITIAL_HULL_SHA256	MUTATION_TESTS	MUTATIONS_REJECTED	ALL_FINITE	DETERMINANT_JOINT_COMPATIBLE	C1_DET	C2_HULL_DET	LIOUVILLE_DET	CHART_TUPLE	PROBE_PASS	CERTIFICATE_PASS	SUBDIVISION_REQUIRED
22	8	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000003_S03-0000000004	C0HOTripletonSet	CAPD_SET_RQ_NAN	1	5930	0c7429ff8b397f70225ff2d37bb17066d2a268ec0687f9b9394afa4eecd942e8	36e07319e25c3c0a8241d42c43bb564b49b8b89008bfa8abcfb4cbbdffaac1b4	9d4649b9d43077c7f4383aeaa54c6abf4a40ae5171d5447e1da68be925ec6f17	473f270c2c0bf7c9da3bbcf91911f93dc69b216745a671c3e5e7e0451a85796a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ae6503a67456e8da638e6018375b247adff285e7b05ce0aa8f69ab19b8235f49	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0	0	false	false	-	-	-	-	false	false	true
23	8	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000003_S03-0000000004	C0HORect2Set	VERIFIED_COMPLETE	0	5969	0c7429ff8b397f70225ff2d37bb17066d2a268ec0687f9b9394afa4eecd942e8	36e07319e25c3c0a8241d42c43bb564b49b8b89008bfa8abcfb4cbbdffaac1b4	9d4649b9d43077c7f4383aeaa54c6abf4a40ae5171d5447e1da68be925ec6f17	48cfccb7b91e3f5071728c223dcbc603d17dfc5b88870bf9cdfae3547e8f7c0d	bad31a2f26997d36df4ab99a0cd1dbe20ecf3fbf611c873eb28214f4860229b6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d2e0cfe6eec55e6db02945fc280b99ba252fb24325d0c1cd2968a0867422f5ba	29653b9e6054cbee180f3a6d38d324a7d4fad2ea12fd22d33426c893c51c8a81	cf15ad9d535ba0c6f33dd6d2055662a4a87520a72943f741205ee4afa1ecba10	2300a35ae1e53b093d3fee590ae207cdfca1f3c748a2d5776c075e302bc8de66	9459b04fe9cf2e286ee1a095794c83471285b9462afcf8338b349f5d5a83a614	93	93	true	true	[-0x1.82529c6cecb5ap-12,0x1.85dd629002ca3p-12]	[-0x1.82529c6cecb5ap-12,0x1.85dd629002ca3p-12]	[-0x1.038be01447af7p-35,-0x1.e4c61da3ad1bp-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
24	8	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000003_S03-0000000004	C0Rect2Set	VERIFIED_COMPLETE	0	5738	0c7429ff8b397f70225ff2d37bb17066d2a268ec0687f9b9394afa4eecd942e8	36e07319e25c3c0a8241d42c43bb564b49b8b89008bfa8abcfb4cbbdffaac1b4	9d4649b9d43077c7f4383aeaa54c6abf4a40ae5171d5447e1da68be925ec6f17	8ea48fd7c4c673685ae26dda62d71066257cb20e8cd3636139b7ddadf793c48a	fd8d7a00c5010090b6825d3f2317c1843d8fd1b14cded338db2298407252c25b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	41c43365f067a1dc55a2f7da2c3c7edcbe3491db75260105d2edd3bf4908b3aa	d0e7ac864fabe2d32a58c9e8b7f8e82c640a3fee2c3272a1f06d7025d4bb833b	b998747a7fb2dcb262ff887f1f2058c2d3010a47874afe7da3c5edd823934492	2300a35ae1e53b093d3fee590ae207cdfca1f3c748a2d5776c075e302bc8de66	9459b04fe9cf2e286ee1a095794c83471285b9462afcf8338b349f5d5a83a614	93	93	true	true	[-0x1.82529c6cecb5ap-12,0x1.85dd629002ca3p-12]	[-0x1.82529c6cecb5ap-12,0x1.85dd629002ca3p-12]	[-0x1.03e38b40acecp-35,-0x1.e422cae3caad6p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
25	9	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000000_S03-0000000003	C0HOTripletonSet	CAPD_SET_RQ_NAN	1	5890	ce217bc78032d377e2855d73259476e7b3bc45fe483ef11d06387e15ed497322	fe3090d5ca56f97be572117356f3b5f986aa5c245b83df9823449d6295b67eae	f5db422a2a92ede9c61eddcc98d0525db5848ea0e9b73004c3e9b02f491cca80	80941a07efc51f7eb686cb0eb4ecdab8c3244e2d0bd3a00da6e8b39ea276934f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	5b2a3129e39f1bec58e2e9143ec8019a623e805d92335bb2c40d323bc2f8be02	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0	0	false	false	-	-	-	-	false	false	true
26	9	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000000_S03-0000000003	C0HORect2Set	VERIFIED_COMPLETE	0	5937	ce217bc78032d377e2855d73259476e7b3bc45fe483ef11d06387e15ed497322	fe3090d5ca56f97be572117356f3b5f986aa5c245b83df9823449d6295b67eae	f5db422a2a92ede9c61eddcc98d0525db5848ea0e9b73004c3e9b02f491cca80	a1c32f99366836f0f602c51d290a3c85d4473f0f215db6ed1c5ba52cec279db8	b647d00f60de10404cf454f7a9222f25b57dc141101021fccaf2b10a0c409d6d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0c11ec3127bae406533e25c8d772bfc777b1574b12332ce90b28f727116bd868	a1d43912d0a20a5d9ccf049d62a4f317f797a9a439b2efc4e87ee729c8b2f0c2	a9846c55e92886b8935e82f422f6f8d54b9d6c4af5d181e3d5775e1636c25b0c	a27771cedf2696b0aafd0ae411a51d7e819bd742d77ebe4c9136076917548314	c10391353b9534c9e63213c8c410c3ae7727ce12361831035848c032b791adb9	93	93	true	true	[-0x1.b5d6d00e2d398p-13,0x1.b93541cadec81p-13]	[-0x1.b5d6d00e2d398p-13,0x1.b93541cadec81p-13]	[-0x1.0276181ea3e24p-35,-0x1.f09aad1f27698p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
27	9	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000000_S03-0000000003	C0Rect2Set	VERIFIED_COMPLETE	0	5750	ce217bc78032d377e2855d73259476e7b3bc45fe483ef11d06387e15ed497322	fe3090d5ca56f97be572117356f3b5f986aa5c245b83df9823449d6295b67eae	f5db422a2a92ede9c61eddcc98d0525db5848ea0e9b73004c3e9b02f491cca80	235e4570fa9d8b07e8352d3aff2ee2b4bdcca917b8ec75ac035bade36ee25817	a2e51d1c66a8748ad43dade403b96461a1573ea81f4afd000ed681e2b1d204a6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	136b9caaa949f176d360e64956bfcdc70b751f6bb1c720c036abd565167ca074	bcfa43c842276394cdac59cf927083ea345bf4bad0d3b9cbc7532797d055bac4	b0423db3c46a133bfb7129eeddaf9c40a1deaa7e4d543c300ab9f76b6353e67a	a27771cedf2696b0aafd0ae411a51d7e819bd742d77ebe4c9136076917548314	c10391353b9534c9e63213c8c410c3ae7727ce12361831035848c032b791adb9	93	93	true	true	[-0x1.b5d6d00e2d398p-13,0x1.b93541cadec81p-13]	[-0x1.b5d6d00e2d398p-13,0x1.b93541cadec81p-13]	[-0x1.02a09ac237ebcp-35,-0x1.f04b550b2b3ap-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
28	10	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000001_S03-0000000003	C0HOTripletonSet	CAPD_SET_RQ_NAN	1	5853	16ce2b63422b8d81d6884631b789888ef6afd5309dd0b652938a9ea059a0ecf8	d18b52915a03523b4414d45dab5db35a966c5e390307043b33944a0dbc357bcd	458c4d7643625f322f6210ee4db3dc37e5f72df7352052ddbb95a40f937f0bde	2a9a083f8759cfec80c64dc9b597e19599d1992eac511b2adbd803092ec27110	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	775c3a40f96257fe365723d0fa57ffc5c1146fbcf8ad5ca7add45eb77af30a41	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0	0	false	false	-	-	-	-	false	false	true
29	10	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000001_S03-0000000003	C0HORect2Set	VERIFIED_COMPLETE	0	5910	16ce2b63422b8d81d6884631b789888ef6afd5309dd0b652938a9ea059a0ecf8	d18b52915a03523b4414d45dab5db35a966c5e390307043b33944a0dbc357bcd	458c4d7643625f322f6210ee4db3dc37e5f72df7352052ddbb95a40f937f0bde	26c03c4a3fdfb7d31115d06cd71ec9726eec0e32dc3e9fc8788048e1808c6850	f1fd7c79c395943b594fa84fa8c77d73a2080154f8c2325acc3ff800819b0955	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d612a8ca070b50984e9990710c96a7c6b3d8ff6b04e802127b144a40109335b5	5b95c42d1ea1550652cd889996c6a1240b4f7adbd6d5086693e85b9722b3ebe6	058e430437b524fe0cd33b3d4aa98f305c95a57c7c5220b6270d5bda2f52d289	93434cc3296a37745576b91406bb298957b16dbf95d5b828233db8e6c5f7420f	c868e9b9b2a9077710b66ddffaf872209905d917c926b4203ca801f390788444	93	93	true	true	[-0x1.b60b5e6690696p-13,0x1.b9ec1d0d37416p-13]	[-0x1.b60b5e6690696p-13,0x1.b9ec1d0d37416p-13]	[-0x1.025906d77e66ep-35,-0x1.f0619f91b14d4p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
30	10	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000001_S03-0000000003	C0Rect2Set	VERIFIED_COMPLETE	0	5711	16ce2b63422b8d81d6884631b789888ef6afd5309dd0b652938a9ea059a0ecf8	d18b52915a03523b4414d45dab5db35a966c5e390307043b33944a0dbc357bcd	458c4d7643625f322f6210ee4db3dc37e5f72df7352052ddbb95a40f937f0bde	c5c54b448589b21e403c9504ab80921d1d2feeacb7a8873bfa13a72aefff84be	cd12ecbb31317bee75ade22a8f8ffc2b21f9c8b4ce00e6b37d3563a8d144583b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	995583b656049c1ef12f4688d46839b18ff5517df50749b7fb256a413b5182ab	8c8d8f1b5c2517db30621526941058f44c878c23d83c772e62a89abb306e007a	01eb01d5d47ddf2492ae2bf27ec4af51c0ca12d7582fc61fd99e219adccfb8df	93434cc3296a37745576b91406bb298957b16dbf95d5b828233db8e6c5f7420f	c868e9b9b2a9077710b66ddffaf872209905d917c926b4203ca801f390788444	93	93	true	true	[-0x1.b60b5e6690696p-13,0x1.b9ec1d0d37416p-13]	[-0x1.b60b5e6690696p-13,0x1.b9ec1d0d37416p-13]	[-0x1.02832ee0fb98cp-35,-0x1.f013754b3704p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
31	11	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000002_S03-0000000001	C0HOTripletonSet	CAPD_SET_RQ_NAN	1	5855	a23424c38566497259169b1c3985d1426241f51f2ddb1c9a1b6095ceebcc73af	cdc697a648a07cb5cb2d6256afa5feb4cbde23cd1d88c8d5caa337386ee9a6cf	bc51c83733f0ee12c4ef2fdb0b260f3221d05a1aae71e00c61809fcbb613d4c6	20fcdf37b7af8241b841762336e6ad20bb4d38bf2bb5fe0eb8a387c80929fb57	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	4ca360398d128641d4a28fcf47a909357101c323a8e26a5b96d112071be89461	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0	0	false	false	-	-	-	-	false	false	true
32	11	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000002_S03-0000000001	C0HORect2Set	VERIFIED_COMPLETE	0	5917	a23424c38566497259169b1c3985d1426241f51f2ddb1c9a1b6095ceebcc73af	cdc697a648a07cb5cb2d6256afa5feb4cbde23cd1d88c8d5caa337386ee9a6cf	bc51c83733f0ee12c4ef2fdb0b260f3221d05a1aae71e00c61809fcbb613d4c6	554a956e13d6e0dd787aed714d341b298beb7569459ef0c849e478921d831c75	ef0ad74999e417944a4b58da7dd8a72c5e7ced390ae11926df4779e0e4583cb5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a7d7b8c7dc893aa587fa366a21146c9b57be9f33ca6b8a6452a4db12fb192c6b	1fd7d36c38cb081e6d9d576afa0853931ba487c083d663caf0d3a06dd2cee368	cf44ec95da6a423d30ee820190c4c4a079fc056b6c5b3e83a368e2d71dc8580c	bb0379fccc714faf51cb48914c40508f3ff8c92d19a69f8f813237a24a4e2094	3faecdd0196742bd11847354376cdbef5143a5f3398c570bc6e9938f3e205a54	93	93	true	true	[-0x1.aeabd743c31a1p-13,0x1.bbc5add6d6d9ap-13]	[-0x1.aeabd743c31a1p-13,0x1.bbc5add6d6d9ap-13]	[-0x1.05d6bb9fb6034p-35,-0x1.f73c27500c01ep-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
33	11	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000002_S03-0000000001	C0Rect2Set	VERIFIED_COMPLETE	0	5680	a23424c38566497259169b1c3985d1426241f51f2ddb1c9a1b6095ceebcc73af	cdc697a648a07cb5cb2d6256afa5feb4cbde23cd1d88c8d5caa337386ee9a6cf	bc51c83733f0ee12c4ef2fdb0b260f3221d05a1aae71e00c61809fcbb613d4c6	f3493afc304360c2339125cbf86d1883577b5d22f15159b16273d3b151b6f982	051de3c2230d8424336d03ebd6c892cd035b4350f2e852b3d8e6cb02ac1773e0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	f9f9a8ae8f9792dc3c3909f14a3c8fcd74a71363ab786ec211682fa5ce54db31	b444e1d852cc53930bedc7f4dc29d6d7717fbb255930f433112004092743a361	afc15e47c134f925107c758dcf03e9b6ceb937e193632d0b829eae32aef5b335	bb0379fccc714faf51cb48914c40508f3ff8c92d19a69f8f813237a24a4e2094	3faecdd0196742bd11847354376cdbef5143a5f3398c570bc6e9938f3e205a54	93	93	true	true	[-0x1.aeabd743c31a1p-13,0x1.bbc5add6d6d9ap-13]	[-0x1.aeabd743c31a1p-13,0x1.bbc5add6d6d9ap-13]	[-0x1.05ff44ae84bf3p-35,-0x1.f6ebd738594aap-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
34	12	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000003_S03-0000000000	C0HOTripletonSet	CAPD_SET_RQ_NAN	1	5845	f981c33502b5bfe9348c22091d116cd472e9a11f713dab77c29415d6398ff0b0	291235aec10baf37614bbd67f90df3691453f4ef1ab2a84375733c88b233c617	69ac36c6b632852e5dc34b73aff744275041928f4d168de06792316da443d18a	bc47bfac02f7e395834d39be4cff6a211483dffa8b1546bd766ffe55b3f29718	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2730df915375311117d55f9b2f8b355f75fcb49e8deac30a759dee538b9acf0c	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0	0	false	false	-	-	-	-	false	false	true
35	12	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000003_S03-0000000000	C0HORect2Set	VERIFIED_COMPLETE	0	5914	f981c33502b5bfe9348c22091d116cd472e9a11f713dab77c29415d6398ff0b0	291235aec10baf37614bbd67f90df3691453f4ef1ab2a84375733c88b233c617	69ac36c6b632852e5dc34b73aff744275041928f4d168de06792316da443d18a	e1bfc440611eaac98048bb4affa1c280133ba9d84d1dc04a2d1e60a81257cc9c	3f6dd1adc583eda987bd48eef6dffb47abc89d2fe0536bba7e592d917b160e82	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	10b5e7724f0909fd6b97c01a8978663a3542e4fff5c9d5d46e9d6933d4c0b74b	cb07cc3f2b44b09f72a25ca842470ea0972377a4573234dd8a0b33425dd9128c	580c522cb76031bf97815ead8f140962d878a561f4c13f4bfc0d9c37d972ec18	b8b2adfd4d98af12f5099aa546c2f82bca896894374fcfc566ad914cd983e8a1	5f39104fbc87742637bfcfffafa3d6b908262e2e52aa0b89ca5d656dac0137a1	93	93	true	true	[-0x1.ab8b9e23ba6bfp-13,0x1.bd539b14deaf9p-13]	[-0x1.ab8b9e23ba6bfp-13,0x1.bd539b14deaf9p-13]	[-0x1.078761e045e37p-35,-0x1.fa9157d79076cp-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
36	12	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000003_S03-0000000000	C0Rect2Set	VERIFIED_COMPLETE	0	5673	f981c33502b5bfe9348c22091d116cd472e9a11f713dab77c29415d6398ff0b0	291235aec10baf37614bbd67f90df3691453f4ef1ab2a84375733c88b233c617	69ac36c6b632852e5dc34b73aff744275041928f4d168de06792316da443d18a	0424f4cabc1328093a115e0ea1674525b23302bc409302cdaebb2f29f1ec1e98	8e427c9c1b4e206fa73e85f9763e9f3d78f88323886c35b136d5396c2e0b3685	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d221cec19be29df2b5a1f82ee508b5e67c221e88328a921808e7f7b3b533df4b	5f6333b3a2c90588eb7a450c511443ba70d994d284c3f6c96bc6e4aa72340a1c	6f45e53c5565236be03b132c6c081359d4a02d0b943416f11b31403a8bea2b62	b8b2adfd4d98af12f5099aa546c2f82bca896894374fcfc566ad914cd983e8a1	5f39104fbc87742637bfcfffafa3d6b908262e2e52aa0b89ca5d656dac0137a1	93	93	true	true	[-0x1.ab8b9e23ba6bfp-13,0x1.bd539b14deaf9p-13]	[-0x1.ab8b9e23ba6bfp-13,0x1.bd539b14deaf9p-13]	[-0x1.07b2483a348cdp-35,-0x1.fa40496072aedp-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
37	13	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000003_S03-0000000006	C0HOTripletonSet	CAPD_SET_RQ_NAN	1	5860	ab3b3470e6399c8dd6c0862af270b5eaffa7206f0cbec557d900dfbafcd36a58	1bf97d3671053e865a91bf427cd44ffbf9fc556179059d892d05803879f674e3	fef81b57e529743669bcf58d7659ae5791eefb83a99f9b611bca43e95b411070	c18906118330033aadb3ed1e8a833e0a6c3ff655f7efc96c678f06a9dd7beac0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	45f55878cfcee2552a43e5dd11241930b314b911d92e0b6de21c61235bb6d044	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0	0	false	false	-	-	-	-	false	false	true
38	13	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000003_S03-0000000006	C0HORect2Set	VERIFIED_COMPLETE	0	5943	ab3b3470e6399c8dd6c0862af270b5eaffa7206f0cbec557d900dfbafcd36a58	1bf97d3671053e865a91bf427cd44ffbf9fc556179059d892d05803879f674e3	fef81b57e529743669bcf58d7659ae5791eefb83a99f9b611bca43e95b411070	bb76605176edb57ca2cf159a0344fc57298758fc30bcb5ad28be35738860d4cd	2887d5901b4f94ab6e7da67b8f8c64fb9852301e72db9aa24eab0bb2c2382718	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bcd1ba0d568072f668d9b573e28842f0c0a35822d85e635824367d623c1d7faf	369632533858aae6870f07dba4a996acf342f9758c75ba93b538f56e8f98011a	fa11082e9f40838bf0b1b79f8963b5407ce9ebfd4456072e32de53caac672433	ae4a6588165e0acde41045c808cfe2245c3db7d34331c74b38c4efe1904b3410	35b0c23001a22f9218dea83bfea33258e0322eae34f85cf84861551d21718662	93	93	true	true	[-0x1.c280de67e8bafp-13,0x1.b9cecb8d09a41p-13]	[-0x1.c280de67e8bafp-13,0x1.b9cecb8d09a41p-13]	[-0x1.f98e05165f503p-36,-0x1.e568462f609fbp-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
39	13	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000003_S03-0000000006	C0Rect2Set	VERIFIED_COMPLETE	0	5673	ab3b3470e6399c8dd6c0862af270b5eaffa7206f0cbec557d900dfbafcd36a58	1bf97d3671053e865a91bf427cd44ffbf9fc556179059d892d05803879f674e3	fef81b57e529743669bcf58d7659ae5791eefb83a99f9b611bca43e95b411070	4f8dbc8221795f7ce80a02a5842a9b2b5a8679b20e3246992356ce92c832bd19	426db5c60a2f0beac8e0ae5218125ad1a6c572b2105364b8fb681ec9e9c5de05	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	5ccbf9bcbf3f7bf3994d4d10bcfdcf99b7b167a1cf17a073042f03d37d3012cd	976d0311f237762d0722d2482fcc8a1ca04bb3940153980d689a35d13d35c0bd	9cf2b62df4696743b94bd621a206394c192fe7b22702d5e09de92bac67bccd67	ae4a6588165e0acde41045c808cfe2245c3db7d34331c74b38c4efe1904b3410	35b0c23001a22f9218dea83bfea33258e0322eae34f85cf84861551d21718662	93	93	true	true	[-0x1.c280de67e8bafp-13,0x1.b9cecb8d09a41p-13]	[-0x1.c280de67e8bafp-13,0x1.b9cecb8d09a41p-13]	[-0x1.f9deb7320dde6p-36,-0x1.e518275b9ddf2p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
40	14	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000004_S03-0000000006	C0HOTripletonSet	CAPD_SET_RQ_NAN	1	5839	8425aa381dee6d5b27adfb4e4aef1458db2e42f277f290ce66954d6515aed87d	ca86b1e94cf13a6217d9573274e76b1f83087f2fba07075a1be30d4090cdd52b	c2fd7746e1a2dca6ae59416333d309d182f093c3776edee13489f4c48de457d5	5b6a288941969df78c4d9ac7c5d2f7b1229f754c5709948a5740bda376759c8b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	57cdfdccda2ed4140d737522eeafe7c0cf9ef7abc2ca4965f40f7e068957e16f	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0	0	false	false	-	-	-	-	false	false	true
41	14	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000004_S03-0000000006	C0HORect2Set	VERIFIED_COMPLETE	0	5912	8425aa381dee6d5b27adfb4e4aef1458db2e42f277f290ce66954d6515aed87d	ca86b1e94cf13a6217d9573274e76b1f83087f2fba07075a1be30d4090cdd52b	c2fd7746e1a2dca6ae59416333d309d182f093c3776edee13489f4c48de457d5	dd06360ab3b65563fe822d42dc2b2124d6eb90a2fb0c4d1bcc617649b56b7690	58955b766d7b6ca7b58e1e5fe6a7ee04ff2bcc4810a4d28e1ee6bb2d53f7f3e0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	75322f6ff0dc24313df967482cd5c1a89477be9d427e025448968922a1ad27f0	e1abca9ebd9b318c364595928723d1e5ad19d7e97fe54ff896b2be5021e5c421	11641e4c1c5faec9363cee732b61b5773acfc07678d6f91ac51be9956358840f	9c203b97f0518fd49157f0da6b1013b79863fd702988e3ff807783575e54de8d	677004b7108a8a1a645b493a63aa209ad3db17892c03b10b6c0dcfe750f8c980	93	93	true	true	[-0x1.c16c25c6a1205p-13,0x1.b94f2193b7749p-13]	[-0x1.c16c25c6a1205p-13,0x1.b94f2193b7749p-13]	[-0x1.f951ac3c591b2p-36,-0x1.e530ed0f62f16p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
42	14	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000004_S03-0000000006	C0Rect2Set	VERIFIED_COMPLETE	0	5677	8425aa381dee6d5b27adfb4e4aef1458db2e42f277f290ce66954d6515aed87d	ca86b1e94cf13a6217d9573274e76b1f83087f2fba07075a1be30d4090cdd52b	c2fd7746e1a2dca6ae59416333d309d182f093c3776edee13489f4c48de457d5	6fed96b57daea23b80f1ef8fc0434ff8b139b9aabfc93c264f3844b91f290b4a	72ee09f662f6006ada14b07c5595c30f71e81cc5de71aa8a36cc2a80af090426	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	9d7d656baf0211ed0e848ec1d7ee33b684f52884f9c6290b58e8829e32054be5	f8916d12f5f11e44bdc2f78f8cdeae12152c6b357dc22a5eca79b1f425681e7a	1d038d150dc960cccc150f24d8fb9b65c53c4f73e445a7e03ed04fcdf0f5b149	9c203b97f0518fd49157f0da6b1013b79863fd702988e3ff807783575e54de8d	677004b7108a8a1a645b493a63aa209ad3db17892c03b10b6c0dcfe750f8c980	93	93	true	true	[-0x1.c16c25c6a1205p-13,0x1.b94f2193b7749p-13]	[-0x1.c16c25c6a1205p-13,0x1.b94f2193b7749p-13]	[-0x1.f9a4a955d4b82p-36,-0x1.e4e0ac5006423p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
43	15	CAPD_SET_TARGET	CAPD_U3_S3	U03-0000000005_S03-0000000007	C0HOTripletonSet	CAPD_SET_RQ_NAN	1	5873	b15567bef5e4b882e402e764da392f23270e2ebb6ed2a9a597d30ac24b2696c2	dcbd0d384895f722791b5cb730c11ac30a5d77ec06bd5f8bd714254e942efcd9	c67ec1e15d61e3976e52d160e44f2a562af39aeb6e9882f0675706e5d020da2c	1269450ed31e1caf85c841fac3a03a9aa19c4a16b5cfabff9a7dc113fae516f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	9f6832dbf946503a9d38044086ba6d75d36febd16cb511c6a7b8f339bf5b772e	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0	0	false	false	-	-	-	-	false	false	true
